"user","artist","count"
1616,48618,1
6970,62983,1
168,20757,1
356,40333,1
375,47235,1
431,45757,1
30,2524,1
186,65025,1
124,15393,1
431,36102,1
512,52536,1
186,23117,1
356,37614,1
498,45237,1
3993,66489,1
186,45617,1
6855,69053,1
30,60090,1
186,68696,1
426,22107,1
476,30843,1
479,65732,1
431,46889,1
298,38632,1
485,41243,1
4033,50948,1
498,45110,1
431,46642,1
30,4358,1
313,36573,1
148,27546,1
368,32053,1
7,21258,1
8100,26434,1
330,22152,1
186,22982,1
186,41773,1
426,37384,1
148,25819,1
431,39249,1
6855,65855,1
1,4126,1
330,31503,1
375,49096,1
186,43276,1
432,33931,1
186,38795,1
1616,28652,1
1,677,1
230,27033,1
432,27175,1
405,33460,1
123,20735,1
51,2455,1
3993,64910,1
102,18587,1
102,12640,1
7,4973,1
186,24364,1
426,35264,1
4033,49558,1
431,46907,1
132,19861,1
186,23728,1
123,20719,1
8100,65908,1
330,19585,1
3993,52687,1
472,45839,1
186,66207,1
54,9910,1
431,35202,1
430,64755,1
7,58882,1
431,51049,1
431,34404,1
316,66386,1
500,62295,1
4350,56589,1
504,59651,1
148,27380,1
431,39115,1
186,31048,1
330,24653,1
405,16539,1
431,37397,1
431,37407,1
186,33580,1
330,32801,1
309,22486,1
405,41946,1
311,26221,1
1616,48855,1
5889,61047,1
14,30373,1
3993,64885,1
316,43102,1
5112,57523,1
7,8291,1
105,17336,1
500,66110,1
375,45778,1
186,33511,1
498,44193,1
186,41406,1
3993,53779,1
186,66325,1
146,20121,1
316,66957,1
512,56467,1
124,17709,1
431,39616,1
405,6964,1
356,29194,1
479,39082,1
100,11000,1
512,51154,1
3993,48183,1
186,45919,1
186,1071,1
7,5545,1
4480,66328,1
499,29248,1
472,47874,1
316,41557,1
124,19617,1
5543,57427,1
3993,56143,1
4350,61711,1
6124,60303,1
5889,65086,1
476,52664,1
3993,62529,1
431,47124,1
186,29512,1
186,24897,1
123,23480,1
186,26004,1
1,18955,1
5889,59935,1
4480,62446,1
431,41366,1
37,21336,1
4480,65765,1
431,34281,1
313,23088,1
311,22653,1
5889,61758,1
4688,55015,1
4688,54969,1
432,34110,1
512,56472,1
498,47079,1
5889,65168,1
3993,51724,1
292,22259,1
431,43073,1
186,18862,1
4350,59977,1
330,40123,1
51,16836,1
4480,64649,1
123,20257,1
124,17710,1
186,55901,1
479,58154,1
3993,50184,1
7,23606,1
7,6221,1
3993,64970,1
375,49909,1
30,29907,1
330,4976,1
30,5184,1
316,32397,1
51,1838,1
431,24890,1
30,2231,1
186,68464,1
491,41189,1
500,48612,1
4350,58093,1
431,41054,1
431,47395,1
375,38531,1
431,46973,1
230,19487,1
102,12749,1
7,3314,1
1616,52302,1
191,25684,1
3993,63329,1
4033,48900,1
30,4337,1
30,3885,1
186,26033,1
100,10984,1
431,46118,1
504,69409,1
426,21418,1
330,30129,1
4480,54307,1
356,28908,1
500,56030,1
30,3234,1
324,25351,1
148,2129,1
186,31207,1
476,24035,1
521,54484,1
30,24545,1
3993,54117,1
375,32969,1
500,63388,1
5112,57023,1
105,17346,1
426,60708,1
316,36291,1
186,27176,1
51,1093,1
356,36790,1
375,48012,1
375,46268,1
5775,57761,1
4350,60609,1
368,31970,1
186,43175,1
431,40210,1
5889,60715,1
4350,58092,1
431,41760,1
186,24150,1
504,62161,1
30,4571,1
186,27591,1
330,65942,1
124,17702,1
30,54564,1
148,31472,1
500,56026,1
298,39872,1
186,24844,1
3993,66455,1
431,26347,1
115,20204,1
4350,26706,1
472,40280,1
476,55725,1
504,59812,1
186,27528,1
298,27682,1
5775,57723,1
148,22017,1
5889,64271,1
4033,49650,1
186,24158,1
230,27659,1
5889,65530,1
512,42324,1
1,205,1
431,33895,1
168,20287,1
107,18750,1
30,5695,1
438,36184,1
132,19701,1
477,61622,1
107,19792,1
512,52343,1
512,52235,1
191,27640,1
4480,33159,1
4350,525,1
186,55369,1
432,34877,1
7345,51654,1
1616,50127,1
431,25572,1
375,33070,1
3993,52391,1
316,35947,1
4049,58448,1
330,68835,1
186,11302,1
5889,65128,1
316,32345,1
186,58958,1
132,19809,1
3993,56121,1
186,55389,1
431,39670,1
6124,62035,1
5889,60861,1
186,44254,1
3993,69614,1
30,25175,1
8244,69306,1
1616,49860,1
477,56193,1
146,20241,1
8,34,1
1616,54514,1
4033,49606,1
356,37122,1
5112,52650,1
1,675,1
431,42149,1
186,21474,1
512,52411,1
500,61412,1
375,24243,1
512,51430,1
1,751,1
330,31892,1
7,10951,1
186,44276,1
431,47138,1
426,44404,1
186,25966,1
8244,66827,1
3993,57075,1
3993,55091,1
3993,67543,1
5889,64393,1
186,27501,1
512,51501,1
186,41765,1
477,58708,1
330,61124,1
431,46051,1
316,31307,1
330,7430,1
512,52320,1
504,62463,1
4033,48963,1
500,65711,1
186,31150,1
375,37913,1
186,24584,1
3993,48352,1
186,54103,1
512,42899,1
313,30865,1
30,29922,1
4350,58745,1
500,58473,1
8611,67868,1
5889,61319,1
186,21358,1
500,68903,1
3993,53731,1
8244,69075,1
498,43925,1
14,32621,1
186,69417,1
4350,57210,1
124,17596,1
431,53760,1
432,35313,1
428,4155,1
316,66240,1
330,10632,1
186,23423,1
230,23597,1
6970,61633,1
476,55042,1
330,51826,1
186,33568,1
132,19759,1
186,58832,1
5543,57926,1
102,54900,1
330,25799,1
1,19778,1
8244,68037,1
3993,53218,1
431,39158,1
477,47608,1
102,3633,1
403,11809,1
356,29117,1
512,42396,1
312,29204,1
356,40341,1
148,20442,1
330,66954,1
3993,53032,1
186,63163,1
500,26353,1
472,42962,1
8244,66639,1
313,36768,1
433,34271,1
5889,65146,1
426,32509,1
30,28771,1
102,28977,1
3993,63043,1
391,32509,1
316,32247,1
330,30138,1
8267,67229,1
4350,59293,1
313,30510,1
476,55819,1
521,45976,1
186,37336,1
186,63529,1
37,19368,1
105,17409,1
1,4780,1
4049,22624,1
186,26496,1
375,50675,1
4033,9190,1
431,37959,1
313,34529,1
512,52422,1
498,43798,1
186,37550,1
431,40050,1
107,18417,1
1,116,1
6124,60316,1
498,44345,1
123,20725,1
431,26201,1
375,33147,1
5889,60436,1
512,52620,1
431,38019,1
472,42963,1
30,3732,1
330,61241,1
500,62708,1
316,34058,1
311,26729,1
186,25856,1
431,36207,1
8100,35276,1
330,51564,1
515,351,1
330,32120,1
107,14201,1
426,26378,1
420,48467,1
476,64555,1
498,46679,1
426,30090,1
330,43215,1
375,52038,1
7,2268,1
420,45025,1
6970,63255,1
84,3153,1
186,68105,1
330,9344,1
431,44995,1
375,28129,1
313,30799,1
504,50775,1
431,41496,1
431,35146,1
316,32768,1
183,21417,1
504,68012,1
3993,53092,1
431,35720,1
426,47364,1
375,43721,1
356,38337,1
431,38958,1
186,30425,1
3993,50072,1
186,41470,1
123,20669,1
431,39998,1
431,47602,1
3993,50863,1
472,32560,1
431,38940,1
498,44814,1
186,21731,1
186,29155,1
186,17455,1
7,3811,1
186,64997,1
4350,27019,1
102,37603,1
356,26428,1
7,908,1
3993,50382,1
402,24969,1
4350,58434,1
4049,28834,1
186,68716,1
1,688,1
8244,67631,1
426,38619,1
476,23604,1
84,10611,1
450,498,1
186,28584,1
479,66259,1
1616,49875,1
186,23153,1
431,40849,1
477,61727,1
431,50344,1
356,28819,1
3993,63964,1
498,51911,1
79,498,1
356,29092,1
5889,58021,1
186,24635,1
431,48668,1
186,21648,1
186,47759,1
316,33044,1
6515,56619,1
337,23833,1
5889,60997,1
500,48017,1
30,47798,1
431,34983,1
512,51244,1
148,31005,1
316,4646,1
186,22823,1
477,47560,1
330,68792,1
432,34661,1
191,27342,1
3993,55487,1
330,40119,1
5112,56658,1
479,58808,1
4350,57308,1
7,10406,1
3993,48384,1
498,44185,1
186,42393,1
6855,64344,1
148,2207,1
278,25607,1
186,47501,1
102,29929,1
4350,61823,1
3993,51709,1
337,18824,1
356,37457,1
186,27509,1
355,498,1
512,42694,1
333,5523,1
123,16576,1
3993,49688,1
431,36081,1
148,27695,1
316,39217,1
431,45724,1
3993,48209,1
336,25884,1
163,16540,1
1,40852,1
476,16924,1
426,47026,1
316,5685,1
330,18897,1
498,47510,1
431,40971,1
512,52198,1
512,51434,1
330,39558,1
30,1464,1
330,6040,1
512,42817,1
330,23893,1
107,17257,1
477,56188,1
504,55156,1
5889,59908,1
477,56333,1
512,52291,1
431,43632,1
3993,62814,1
3993,66605,1
124,15582,1
431,34042,1
25,5498,1
476,55160,1
431,43629,1
14,31063,1
191,25580,1
476,55220,1
30,19744,1
186,21825,1
333,15483,1
426,34585,1
431,34965,1
132,506,1
476,2778,1
3993,48527,1
30,30858,1
84,13158,1
39,735,1
330,61278,1
3993,53694,1
105,17340,1
8724,69524,1
6970,62764,1
504,45474,1
6118,63584,1
364,4155,1
431,49056,1
186,24205,1
476,59077,1
375,33119,1
316,20937,1
316,37879,1
186,27399,1
330,15437,1
330,30235,1
3993,64893,1
186,43144,1
172,36434,1
6124,64241,1
330,46216,1
312,26333,1
186,32779,1
431,39207,1
479,59333,1
375,32999,1
431,33825,1
3993,62368,1
186,21489,1
405,37889,1
479,37515,1
5889,59929,1
477,54488,1
375,38278,1
105,11242,1
146,20142,1
7,3381,1
5889,61362,1
42,8,1
512,42513,1
186,31204,1
46,638,1
394,30176,1
316,12597,1
178,20748,1
512,52440,1
1,41160,1
18,693,1
3993,53580,1
512,52788,1
